Model type,Model Knowledge,Tree number,Actual sensitivity one,Actual sensitivity two,Actual specificity one,Actual specificity two,Sensitivity Error,Specificity Error,Low Prevalence,High Prevalence,Covdp,Covdp max,Covdp min,Covdn,Covdn max,Covdn min
no cov,Good one,80,0.690697674,0.96981982,0.65872093,0.887612613,0.099986232,0.068396988,0.25,0.5375,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.695555556,0.897402597,0.457777778,0.92987013,0.066225791,0.108395592,0.3125,0.5625,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.740196078,0.858630952,0.726102941,0.755704365,0.046234911,0.020632979,0.2125,0.6,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.613963964,0.921860465,0.624324324,0.752093023,0.058831371,0.05864747,0.375,0.4625,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.618539787,0.902534113,0.485233798,0.810916179,0.147288559,0.193006955,0.2875,0.6625,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.722222222,0.946519525,0.595238095,0.92614601,0.124299154,0.0819303,0.225,0.525,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.863476425,0.906072106,0.548205489,0.770082226,0.180097067,0.12381538,0.3625,0.6125,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.571759259,0.724587912,0.763888889,0.714972527,0.045918367,0.10691519,0.3,0.675,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.543462644,0.964767157,0.422054598,0.980392157,0.09377486,0.079941038,0.3625,0.6,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.516326531,0.96568915,0.363673469,0.87888563,0.103309879,0.078385858,0.3125,0.6125,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.70877193,0.99,0.744736842,0.97826087,0.005314798,0.099951601,0.375,0.7125,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.597142857,0.773020528,0.726938776,0.904105572,0.120450338,0.070768185,0.3125,0.6125,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.742105263,0.810382514,0.658421053,0.941803279,0.028210256,0.04158854,0.2375,0.625,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.752525253,0.99137931,0.932828283,0.871182266,0.030849243,0.041586965,0.275,0.5625,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.77037037,0.822327044,0.574814815,0.893396226,0.062069561,0.024540637,0.3375,0.625,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.698412698,0.887040715,0.746031746,0.990566038,0.020125726,0.022320787,0.3375,0.525,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.552821128,0.767793139,0.93877551,0.895801331,0.110392865,0.045627332,0.2125,0.6125,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.474264706,0.939347291,0.5625,0.947660099,0.112300725,0.041627473,0.3,0.6375,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.782978723,0.766666667,0.732340426,0.9,0.038371114,0.048400445,0.3125,0.5875,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.720779221,0.891268076,0.817254174,0.966629588,0.005545294,0.006828255,0.275,0.6125,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.878364389,0.816301097,0.73757764,0.896560319,0.113959328,0.039056773,0.2625,0.575,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.62962963,0.940448113,0.543981481,0.815153302,0.014181344,0.062367797,0.3375,0.6,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.619708995,0.83922956,0.588955026,0.750393082,0.016073902,0.032317234,0.3375,0.7,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.829081633,0.955024814,0.801020408,0.90353598,0.048474517,0.055286017,0.35,0.6125,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.695075758,0.99137931,0.778409091,0.875538793,0.007933504,0.090386662,0.275,0.6,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.393356643,0.841748768,0.597902098,0.903940887,0.127275993,0.015993466,0.275,0.65,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.849002849,0.880390836,0.564814815,0.835242588,0.094885189,0.08159533,0.3375,0.65,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.601527403,0.811048336,0.539982031,0.814187068,0.105261968,0.077074992,0.2625,0.6625,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.666975023,0.729665072,0.816373728,0.845295056,0.02044019,0.018632217,0.2875,0.5875,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.629251701,0.780584297,0.653439153,0.930006086,0.026485457,0.018251682,0.3375,0.6125,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.544642857,0.919642857,0.630952381,0.889880952,0.002635186,0.128083729,0.3,0.7,NA,NA,NA,NA,NA,NA
no cov,Good both,80,0.662698413,0.855769231,0.735449735,0.961538462,0.031289921,0.000289261,0.35,0.675,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.772222222,0.7734375,0.516666667,0.79375,0.119696147,0.105746003,0.36,0.6,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.479699666,0.979799852,0.814794216,0.912157153,NA,NA,0.29,0.62,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.680765086,0.769561815,0.533674569,0.978873239,0.042979553,0.005428904,0.29,0.64,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.722724703,0.728421813,0.738270209,0.959010473,NA,NA,0.29,0.61,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.633779264,0.849350649,0.591638796,0.661038961,0.117892929,0.06065797,0.23,0.65,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.669642857,0.944444444,0.7578125,0.909722222,NA,NA,0.28,0.64,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.701086957,0.921370968,0.675983437,0.898297491,0.076219488,0.130588042,0.28,0.69,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.73655914,0.918653576,0.489948574,0.888031791,0.020010934,0.118555246,0.31,0.69,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.711629002,0.959984756,0.53507533,0.531440549,0.152544267,0.177028332,0.36,0.59,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.755,0.80375,0.46,0.84875,0.107381477,0.052156998,0.2,0.5,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.840533088,0.984848485,0.5234375,0.847222222,0.107565987,0.171135765,0.34,0.64,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.659618574,0.815340909,0.706467662,0.785984848,0.120451962,0.122702603,0.36,0.67,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.665119363,0.976190476,0.920424403,0.905083655,0.042791277,0.024744364,0.26,0.58,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.508064516,0.889397407,0.564516129,0.835430969,0.024262983,0.075556587,0.31,0.62,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.397741935,0.933684211,0.646451613,0.834210526,0.038301385,0.01961,0.25,0.62,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.462184874,0.857638889,0.817226891,0.765625,0.015338985,0.009672174,0.28,0.68,NA,NA,NA,NA,NA,NA
