Model type,Model Knowledge,Tree number,Actual sensitivity one,Actual sensitivity two,Actual specificity one,Actual specificity two,Sensitivity Error,Specificity Error,Low Prevalence,High Prevalence,Covdp,Covdp max,Covdp min,Covdn,Covdn max,Covdn min
no cov,Good one,120,0.725407925,0.664472309,0.747785548,0.893730408,0.025118238,0.081467316,0.275,0.541666667,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.60625,0.855147059,0.908928571,0.866176471,0.031167628,0.011085286,0.291666667,0.666666667,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.60708502,0.917849224,0.80242915,0.942239468,0.051910159,0.025465975,0.316666667,0.541666667,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.267293233,0.82902439,0.827067669,0.693658537,0.065048282,0.047667361,0.316666667,0.583333333,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.696525097,0.915345269,0.64015444,0.807161125,0.085252756,0.01216844,0.291666667,0.616666667,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.620243531,0.822836879,0.733942161,0.832198582,0.036685792,0.018135955,0.375,0.608333333,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.459036145,0.93354531,0.799827883,0.885373609,0.018977465,0.070693138,0.291666667,0.691666667,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.636541471,0.907312925,0.405516432,0.903061224,0.036770256,0.078870688,0.3,0.591666667,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.621817384,0.96149627,0.889157155,0.946248355,0.06883972,0.041046697,0.283333333,0.558333333,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.527151639,0.909379815,0.757940574,0.86392527,0.059945683,0.015223419,0.266666667,0.508333333,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.757511488,0.877885331,0.519264758,0.910151402,0.028662981,0.117087373,0.341666667,0.575,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.717391304,0.632204397,0.537267081,0.799762329,0.034716972,0.055682659,0.175,0.575,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.562631579,0.931165312,0.423859649,0.84796748,0.022576838,0.066255508,0.316666667,0.625,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.609126984,0.690162907,0.513888889,0.870614035,0.049702018,0.028517533,0.3,0.525,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.627005348,0.936046512,0.674560733,0.819767442,0.042087611,0.023173312,0.283333333,0.641666667,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.530959752,0.963414634,0.752321981,0.940666041,0.104493054,0.066446036,0.316666667,0.566666667,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.633141762,0.930860806,0.719588123,0.851877289,0.043718686,0.027526989,0.241666667,0.6,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.543926662,0.825581395,0.620511841,0.808139535,0.007118143,0.03462979,0.283333333,0.641666667,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.4,0.853333333,0.758974359,0.894545455,0.124019071,0.029081148,0.375,0.541666667,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.840526316,0.826555024,0.702105263,0.907177033,0.035735011,0.00169801,0.208333333,0.633333333,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.61048951,0.947335423,0.557575758,0.973667712,0.002011967,0.074494289,0.275,0.541666667,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.666348358,0.877906977,0.910427807,0.651162791,0.109425926,0.044626933,0.283333333,0.641666667,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.659090909,0.843231162,0.651515152,0.919220945,0.013721808,0.062755694,0.275,0.55,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.710606061,0.761842105,0.725,0.980263158,0.050003493,0.017601296,0.366666667,0.5,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.711645469,0.743744208,0.705484897,1,0.056654759,0.030788287,0.308333333,0.566666667,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.369791667,0.696022727,0.760416667,0.68655303,0.120370755,0.048787353,0.266666667,0.6,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.561190476,0.857487923,0.692619048,0.879227053,0.001503286,0.0384108,0.233333333,0.625,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.710835059,0.840115753,0.796066253,0.624525231,0.160542294,0.026025229,0.191666667,0.525,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.492989056,0.861763237,0.584815321,0.76461039,0.142392618,0.054749282,0.358333333,0.566666667,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.79466967,0.908902692,0.725600601,0.703933747,0.064962835,0.097530714,0.3,0.616666667,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.546583851,0.701960784,0.683022774,0.921568627,0.016628756,0.007216492,0.291666667,0.575,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.74269103,0.973506494,0.643355482,0.786103896,0.123388667,0.146374173,0.358333333,0.583333333,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.506944444,0.994047619,0.645833333,0.895833333,0.171612432,0.059378323,0.3,0.6,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.796031746,0.862380952,0.726190476,0.938095238,0.011268737,0.021595993,0.3,0.583333333,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.586600685,0.776985493,0.785687096,0.821981805,0.081816911,0.056327621,0.308333333,0.591666667,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.760416667,0.814393939,0.717708333,0.988636364,0.071827294,0.013520801,0.266666667,0.5,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.648637821,0.888798701,0.812900641,0.982954545,0.030585412,0.008825512,0.266666667,0.65,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.670381137,0.892045455,0.508236434,0.628111472,0.00254144,0.067896299,0.358333333,0.6,NA,NA,NA,NA,NA,NA
no cov,Good both,120,0.912617221,0.916438668,0.60571185,0.947332421,0.103111628,0.111160741,0.283333333,0.575,NA,NA,NA,NA,NA,NA
cov,Poor,80,0.746376812,0.936907021,0.637681159,0.813567362,0.071069427,0.110148814,0.225,0.575,0.13671875,0.13671875,-0.08203125,0.058485243,0.058485243,-0.014431424
cov,Poor,80,0.724192277,0.775014294,0.663120567,0.620068611,0.040092261,0.022581354,0.3375,0.5875,0.178962747,0.178962747,-0.091307524,0.112898864,0.136154678,-0.084775554
cov,Poor,80,0.508236434,0.833976834,0.499031008,0.726110039,0.066315817,0.015408533,0.3,0.5375,0.159946536,0.249498775,-0.228113166,0.087408949,0.119667014,-0.041623309
cov,Poor,80,0.541414141,0.83509434,0.550841751,0.649056604,0.050058912,0.02687295,0.3375,0.6875,0.175490779,0.248661511,-0.214753123,0.111111111,0.111111111,-0.055555556
cov,Poor,80,0.760434783,0.859358289,0.687826087,0.722192513,0.116889262,0.079634649,0.3125,0.575,0.165244991,0.165244991,-0.074191629,0.071329378,0.105037243,-0.041030173
cov,Poor,80,0.922619048,0.738721805,0.80952381,0.734492481,0.190532652,0.10380077,0.3,0.525,0.045684114,0.060835629,-0.014921947,0.131394296,0.195224083,-0.070733364
cov,Poor,80,0.554694229,0.959459459,0.512919897,0.774604793,0.031710972,0.056990351,0.3375,0.5375,0.155102041,0.226530612,-0.202040816,0.014814815,0.025925926,-0.007407407
cov,Poor,80,0.519444444,0.810714286,0.580555556,0.742857143,0.071701598,0.050994402,0.25,0.5625,0.195739645,0.226508876,-0.21964497,0.114570637,0.135623269,-0.0433241
cov,Poor,80,0.61831761,0.89021164,0.527515723,0.753637566,0.016877305,0.054563014,0.3,0.6625,0.158542756,0.210490808,-0.205093608,0.062273189,0.074321382,-0.02206416
cov,Poor,80,0.777188329,1,0.679376658,0.820728291,0.165128222,0.199108184,0.3625,0.65,0.152263374,0.164609053,-0.082304527,0,0,0
cov,Poor,80,0.643160127,0.757759784,0.594379639,0.721997301,0.092018621,0.044334384,0.2875,0.5125,0.160888672,0.207763672,-0.151611328,0.128038194,0.169704861,-0.069878472
cov,Poor,80,0.749072356,0.841768632,0.738868275,0.767519466,0.012569255,0.006749025,0.275,0.6125,0.100972029,0.171394565,-0.053957548,0.110718344,0.121954299,-0.035349072
cov,Poor,80,0.5875,0.94375,0.5625,0.751041667,0.021597625,0.043295707,0.25,0.6,0.160034602,0.233564014,-0.16349481,0.041351607,0.041351607,-0.012996219
cov,Poor,80,0.584648494,0.69047619,0.584648494,0.647741148,0.058971031,0.020481985,0.2125,0.5125,0.197086801,0.248810939,-0.216706302,0.144655902,0.193675509,-0.110246059
cov,Poor,80,0.655555556,0.9,0.675,0.771428571,0.117744678,0.125351196,0.3,0.5625,0.110901071,0.2268431,-0.120982987,0.072334259,0.08332327,-0.02656684
cov,Poor,80,0.628787879,0.965517241,0.640692641,0.835299456,0.075359785,0.086308193,0.275,0.525,0.157714844,0.220214844,-0.123535156,0.034288194,0.034288194,-0.007378472
cov,Poor,80,0.657253599,0.861200183,0.633444075,0.700412277,0.00650576,0.005924959,0.2625,0.5375,0.157226563,0.204101563,-0.092773438,0.100260417,0.100260417,-0.045572917
cov,Poor,80,0.757647059,0.967391304,0.683529412,0.813043478,0.093601477,0.19263886,0.425,0.625,0.140589569,0.164399093,-0.073696145,0.032202216,0.032202216,-0.007271468
cov,Poor,80,0.73,0.875757576,0.57,0.751515152,0.184964597,0.168376596,0.3125,0.625,0.128177778,0.168177778,-0.125155556,0.089550173,0.101314879,-0.039861592
cov,Poor,80,0.702898551,0.940651261,0.585144928,0.839810924,0.088091955,0.114076868,0.3,0.575,0.153061224,0.167346939,-0.118367347,0.054814815,0.054814815,-0.011851852
cov,Poor,80,0.637820513,0.957752613,0.604166667,0.807491289,0.076304585,0.07275226,0.3,0.4875,0.168556311,0.216175359,-0.13303099,0.033159741,0.033159741,-0.008077373
cov,Poor,80,0.697142857,0.862756598,0.686530612,0.759824047,0.028666524,0.04493369,0.3125,0.6125,0.119795471,0.200876552,-0.096420745,0.105462412,0.105462412,-0.034072472
cov,Poor,80,0.620294599,0.812075984,0.539279869,0.638398915,0.014556259,0.024610392,0.1625,0.5875,0.144444444,0.194444444,-0.138888889,0.1073,0.1273,-0.0627
cov,Poor,80,0.588837209,0.986486486,0.565581395,0.823587224,0.017142203,0.071530813,0.3125,0.5375,0.180795848,0.224913495,-0.157439446,0.008979206,0.008979206,-0.001890359
cov,Poor,80,0.610322581,0.92585034,0.591935484,0.781292517,0.009425771,0.100122812,0.3875,0.625,0.137479043,0.236244475,-0.146471574,0.046947605,0.059605832,-0.016343535
cov,Good one,80,0.551020408,0.644614543,0.554421769,0.634499727,0.156861859,0.16663466,0.2625,0.6125,0.162857143,0.234285714,-0.165714286,0.139506173,0.217283951,-0.138271605
cov,Good one,80,0.861052632,0.843169399,0.702105263,0.660655738,0.129077621,0.006048978,0.2375,0.625,0.078134846,0.092627599,-0.037807183,0.090327255,0.112305277,-0.052529888
cov,Good one,80,0.593650794,0.789830508,0.604761905,0.721549637,0.071523391,0.079541256,0.2625,0.5625,0.17630854,0.221763085,-0.126721763,0.122000905,0.153915799,-0.058850158
cov,Good one,80,0.370726496,0.752304147,0.398504274,0.630760369,0.265063843,0.145417297,0.225,0.65,0.19755102,0.240408163,-0.30244898,0.111111111,0.155555556,-0.077777778
cov,Good one,80,0.814492754,0.722305764,0.726086957,0.684962406,0.016795563,0.10230912,0.2875,0.5625,0.080882353,0.110294118,-0.036764706,0.139177694,0.19352552,-0.089083176
cov,Good one,80,0.75845666,0.722041007,0.723572939,0.678937558,0.013129011,0.118129121,0.275,0.5375,0.143431953,0.174201183,-0.071952663,0.131745152,0.184376731,-0.089307479
cov,Good one,80,0.817307692,0.890873016,0.75,0.771825397,0.094483781,0.02608116,0.325,0.65,0.124260355,0.149901381,-0.055226824,0.082986318,0.082986318,-0.02676978
cov,Good one,80,0.587528604,0.960703954,0.548627002,0.797010608,0.019650535,0.049315693,0.2375,0.575,0.196686391,0.212071006,-0.218698225,0.033240997,0.033240997,-0.008864266
cov,Good one,80,0.711636829,0.952380952,0.623401535,0.740662932,0.122500048,0.069482403,0.2125,0.575,0.142857143,0.19047619,-0.095238095,0.035604209,0.045913487,-0.015942183
cov,Good one,80,0.716161616,0.912830189,0.725589226,0.863396226,0.041646584,0.089430299,0.3375,0.6875,0.12656157,0.211927424,-0.092950625,0.065417488,0.078238001,-0.011505588
cov,Good one,80,0.606019766,0.920590082,0.553908356,0.777150031,0.086712405,0.008449467,0.2625,0.6625,0.164901388,0.205441928,-0.132395909,0.064359113,0.064359113,-0.017036236
cov,Good one,80,0.790638607,0.990740741,0.647677794,0.833333333,0.052348653,0.109381626,0.325,0.6625,0.113603589,0.138920045,-0.076269829,0.010059442,0.010059442,-0.002286237
cov,Good one,80,0.789525692,0.642494929,0.622529644,0.531947262,0.032243022,0.129418153,0.275,0.575,0.136245675,0.136245675,-0.084342561,0.147566163,0.191044423,-0.167651229
cov,Good one,80,0.872847011,0.741910632,0.803951368,0.60143811,0.062500363,0.151139437,0.2625,0.5875,0.071583045,0.086288927,-0.016652249,0.117202268,0.138941399,-0.089319471
cov,Good one,80,0.838068182,0.956597222,0.667613636,0.868055556,0.131475091,0.058528418,0.2,0.55,0.1075,0.1075,-0.0425,0.0348,0.0348,-0.0052
cov,Good one,80,0.350032531,0.711328976,0.441119063,0.720043573,0.2620674,0.143589705,0.3625,0.6625,0.130577037,0.191552647,-0.369422963,0.153681788,0.217784352,-0.102728468
cov,Good one,80,0.573529412,0.804885057,0.648529412,0.703735632,0.080604116,0.074492729,0.25,0.6375,0.185082325,0.213251339,-0.138861337,0.088120187,0.133064007,-0.057947229
cov,Good one,80,0.770348837,0.887612613,0.65872093,0.748198198,0.123888508,0.029445785,0.25,0.5375,0.091710758,0.155202822,-0.0670194,0.08534382,0.08534382,-0.028058242
cov,Good one,80,0.673529412,0.948850575,0.619117647,0.839367816,0.00193887,0.030297823,0.25,0.6375,0.190636778,0.204721285,-0.133306884,0.037369019,0.037369019,-0.007574801
cov,Good one,80,0.851891892,1,0.845405405,0.804439746,0.275155237,0.105858178,0.3125,0.4625,0.10301769,0.135275754,-0.026014568,0,0,0
cov,Good one,80,0.855519481,0.905982906,0.767857143,0.784188034,0.17782899,0.086116153,0.35,0.55,0.07503858,0.116705247,-0.036072531,0.049586777,0.07231405,-0.018595041
cov,Good one,80,0.714574899,0.972222222,0.67780027,0.798711755,0.009693399,0.080322074,0.325,0.7125,0.142110611,0.190303382,-0.086805052,0.031371226,0.031371226,-0.007589813
cov,Good one,80,0.703804348,0.783613445,0.606884058,0.665441176,0.018590441,0.046252667,0.3,0.575,0.123877551,0.166734694,-0.104693878,0.11962963,0.152962963,-0.08037037
cov,Good one,80,0.770594966,0.68731919,0.663615561,0.62343298,0.010267215,0.135452104,0.2375,0.575,0.145798817,0.145798817,-0.069585799,0.174736842,0.195789474,-0.130526316
cov,Good one,80,0.315270936,0.937596302,0.421182266,0.724961479,0.187713044,0.001382796,0.2625,0.725,0.153661272,0.191635956,-0.390642525,0.025453437,0.037799116,-0.0115836
cov,Good both,80,0.755,0.941666667,0.695,0.808333333,0.036586299,0.056041774,0.25,0.625,0.14877551,0.163061224,-0.079795918,0.033950617,0.045061728,-0.010493827
cov,Good both,80,0.642393321,0.780311457,0.649350649,0.746941046,0.046445803,0.016999042,0.275,0.6125,0.13905971,0.209482246,-0.128545923,0.144047469,0.177755334,-0.069435677
cov,Good both,80,0.496732026,0.981132075,0.544662309,0.758295381,0.073649616,0.088141027,0.3375,0.6375,0.172255095,0.223537147,-0.212360289,0.018738846,0.018738846,-0.005651398
cov,Good both,80,0.662625418,0.86716792,0.592809365,0.760338346,0.047324031,0.019077969,0.2875,0.65,0.168888889,0.195555556,-0.137777778,0.066712803,0.10200692,-0.027404844
cov,Good both,80,0.814893617,0.778787879,0.73106383,0.636363636,0.080446806,0.034271047,0.3125,0.5875,0.116512346,0.130401235,-0.050154321,0.117768595,0.151859504,-0.08677686
cov,Good both,80,0.764285714,0.775263158,0.70952381,0.652105263,0.077414213,0.01511532,0.375,0.525,0.094521605,0.163966049,-0.072145062,0.117122934,0.139850207,-0.076058884
cov,Good both,80,0.740952381,0.706214689,0.613333333,0.62259887,0.019840181,0.077314997,0.2625,0.625,0.144217417,0.158301924,-0.10930371,0.115641964,0.183057695,-0.097841182
cov,Good both,80,0.641369048,0.829326923,0.53125,0.753605769,0.010794207,0.019078922,0.35,0.6,0.198753463,0.198753463,-0.16966759,0.103174603,0.126984127,-0.03968254
cov,Good both,80,0.764914055,0.86628734,0.718402427,0.781175913,0.047265505,0.02134817,0.2875,0.5375,0.1315427,0.16184573,-0.065426997,0.06994115,0.101856043,-0.025803531
cov,Good both,80,0.803140097,0.889844617,0.725845411,0.807991121,0.118793257,0.103049616,0.3375,0.575,0.101332333,0.156126853,-0.063051229,0.080988242,0.092482494,-0.022460034
cov,Good both,80,0.416666667,0.895127119,0.385416667,0.733580508,0.196619801,0.018418076,0.2625,0.6,0.208989708,0.223482462,-0.327242176,0.051926096,0.073904118,-0.024996981
cov,Good both,80,0.544832827,0.956002331,0.544452888,0.847319347,0.014225772,0.098594897,0.35,0.5875,0.169066667,0.235733333,-0.2176,0.028096886,0.039861592,-0.007197232
cov,Good both,80,0.5,0.922727273,0.54,0.737878788,0.050927579,0.048717571,0.3125,0.625,0.176888889,0.230222222,-0.236444444,0.032110727,0.055640138,-0.014948097
cov,Good both,80,0.718518519,0.644743935,0.644444444,0.578167116,0.021198067,0.072116095,0.3375,0.5625,0.149691358,0.177469136,-0.100308642,0.131198347,0.210743802,-0.152892562
cov,Good both,80,0.543052003,0.947973382,0.487638534,0.756805808,0.07948578,0.064412642,0.2875,0.6375,0.166179693,0.233747261,-0.198685172,0.024067063,0.03569497,-0.010816658
cov,Good both,80,0.792270531,0.879217274,0.671497585,0.725033738,0.012558406,0.010800144,0.2875,0.675,0.107606679,0.120593692,-0.048237477,0.054289447,0.078385832,-0.030047902
cov,Good both,80,0.754802831,0.977714557,0.643073812,0.835229967,0.065081997,0.091644454,0.2875,0.5375,0.136363636,0.151515152,-0.075757576,0.017881394,0.017881394,-0.003395201
cov,Good both,80,0.738181818,0.977020202,0.675454545,0.834343434,0.118225119,0.120159417,0.3125,0.55,0.16005041,0.189035917,-0.100819156,0.018596788,0.018596788,-0.003381234
cov,Good both,80,0.602083333,0.8375,0.58125,0.709375,0.046775293,0.005565056,0.25,0.6,0.168901384,0.227724913,-0.16933391,0.122873346,0.122873346,-0.051039698
cov,Good both,80,0.803846154,0.912962963,0.735384615,0.8,0.087887974,0.100998201,0.325,0.625,0.105955679,0.145429363,-0.051939058,0.043650794,0.067460317,-0.015873016
cov,Good both,80,0.481799798,0.911569464,0.460060667,0.804883831,0.065849237,0.034971345,0.2875,0.5375,0.180440771,0.241046832,-0.289256198,0.065753735,0.076392033,-0.019352648
cov,Good both,80,0.604705882,0.86645768,0.644313725,0.786520376,0.030946637,0.027728921,0.3125,0.6375,0.168282548,0.220914127,-0.16066482,0.098639456,0.110544218,-0.032312925
cov,Good both,80,0.665384615,0.972222222,0.626923077,0.846031746,0.100754704,0.125140345,0.325,0.5625,0.161872644,0.218210672,-0.133902004,0.016790809,0.028026764,-0.005681101
cov,Good both,80,0.63961039,0.817150635,0.547619048,0.695553539,0.024034379,0.028892794,0.275,0.525,0.186523438,0.202148438,-0.157226563,0.09233941,0.12358941,-0.053493924
cov,Good both,80,0.475806452,0.835034014,0.484735023,0.701105442,0.171802472,0.020253438,0.3875,0.7,0.175188268,0.244153785,-0.261593341,0.11484331,0.11484331,-0.049540251
cov,Poor,100,0.711469534,0.844202899,0.623655914,0.713768116,0.032546809,0.027417605,0.31,0.54,0.148373702,0.171903114,-0.098685121,0.078185255,0.112967864,-0.043553875
cov,Poor,100,0.875538793,0.835784314,0.768318966,0.726540616,0.163777817,0.117485185,0.32,0.58,0.078518519,0.100740741,-0.032592593,0.099338843,0.117520661,-0.046115702
cov,Poor,100,0.838729508,0.661538462,0.755942623,0.594230769,0.040419317,0.006389304,0.4,0.61,0.081168513,0.120772473,-0.037643368,0.135292317,0.195898378,-0.127333946
cov,Poor,100,0.734895833,0.88015873,0.752604167,0.73968254,0.057471362,0.046176887,0.3,0.64,0.178813943,0.200090539,-0.076505206,0.081968672,0.091402634,-0.031238875
cov,Poor,100,0.657407407,0.929124479,0.555555556,0.799434187,0.046002067,0.041183513,0.27,0.54,0.189300412,0.189300412,-0.144032922,0.053668526,0.053668526,-0.013558365
cov,Poor,100,0.670238095,0.9,0.59047619,0.813888889,0.029149463,0.060709514,0.28,0.6,0.161157025,0.195247934,-0.111570248,0.068239796,0.086096939,-0.021045918
cov,Poor,100,0.721505376,0.938768116,0.663709677,0.836050725,0.095114227,0.092433418,0.31,0.6,0.170148533,0.181137544,-0.093587731,0.043851528,0.05302584,-0.011194344
cov,Poor,100,0.590505464,0.719804318,0.533128415,0.687584345,0.030657441,0.023891354,0.24,0.61,0.134948097,0.205536332,-0.182698962,0.160302457,0.203780718,-0.100567108
cov,Poor,100,0.474213836,0.967933131,0.526415094,0.825379939,0.099709222,0.107857454,0.3,0.53,0.165916679,0.226157643,-0.267818261,0.019212506,0.027759515,-0.006428519
cov,Poor,100,0.568657367,0.949874687,0.590235397,0.799498747,0.046102327,0.055039386,0.37,0.62,0.212427303,0.232629324,-0.171411081,0.03970199,0.03970199,-0.00980296
cov,Poor,100,0.831903945,0.924420451,0.740994854,0.845665291,0.20557763,0.139011594,0.33,0.53,0.115197404,0.138453218,-0.047593294,0.034010465,0.060326254,-0.009849184
cov,Poor,100,0.592161017,0.987804878,0.592161017,0.799677188,0.035831346,0.09465169,0.32,0.59,0.188262287,0.243207342,-0.174375075,0.007490952,0.007490952,-0.00168336
cov,Poor,100,0.748717949,0.816071429,0.682051282,0.710119048,0.154010214,0.09340371,0.3,0.52,0.129238548,0.178019036,-0.078078525,0.118500431,0.135449583,-0.059465671
cov,Poor,100,0.768318966,0.704481793,0.758081897,0.630252101,0.143996077,0.100581375,0.32,0.58,0.112592593,0.179259259,-0.065185185,0.139338843,0.193884298,-0.115206612
cov,Poor,100,0.548951049,0.93048048,0.53986014,0.778828829,0.030239687,0.035464611,0.26,0.55,0.176649901,0.238378296,-0.18137479,0.051338182,0.059741544,-0.015888708
cov,Poor,100,0.605363985,0.992957746,0.588122605,0.846783403,0.058900523,0.120202494,0.29,0.63,0.140122873,0.23794896,-0.175094518,0.007630316,0.007630316,-0.001628944
cov,Poor,100,0.484375,0.760714286,0.517708333,0.689285714,0.035518026,0.00753618,0.3,0.64,0.164893617,0.239361702,-0.260638298,0.129672481,0.157974368,-0.077874689
cov,Poor,100,0.713709677,0.911915205,0.687788018,0.698464912,0.113285575,0.096246297,0.28,0.62,0.103333333,0.203333333,-0.096666667,0.057024793,0.066115702,-0.024793388
cov,Poor,100,0.862068966,0.796948357,0.715517241,0.683266264,0.151920776,0.082138185,0.29,0.58,0.094992734,0.106486986,-0.042938301,0.127026392,0.144725507,-0.067663873
cov,Poor,100,0.535635965,0.837722298,0.533717105,0.804035568,0.003130827,0.045836864,0.32,0.57,0.165256912,0.243908597,-0.228001515,0.102994887,0.130021914,-0.032140248
cov,Poor,100,0.470837488,0.957501848,0.477068794,0.802660754,0.024509483,0.063529566,0.34,0.59,0.16394959,0.249971095,-0.255405249,0.027338632,0.036684427,-0.010044545
cov,Poor,100,0.760942761,0.902095085,0.663299663,0.75906527,0.006802306,0.060614169,0.27,0.66,0.134928894,0.145681582,-0.069372182,0.066206656,0.084898244,-0.027251288
cov,Poor,100,0.805317324,0.985074627,0.706975415,0.871070181,0.201145956,0.161696763,0.33,0.53,0.116955111,0.140210925,-0.057463494,0.015081564,0.015081564,-0.002462296
cov,Poor,100,0.742995998,0.928707526,0.708976558,0.826452842,0.100245476,0.071878663,0.33,0.53,0.163331531,0.186587345,-0.080854516,0.051169591,0.051169591,-0.010233918
cov,Poor,100,0.632850242,0.910517013,0.578099839,0.78678745,0.060267886,0.023348161,0.27,0.69,0.159722222,0.201388889,-0.131944444,0.048169379,0.067400148,-0.019138314
cov,Good one,100,0.508731382,0.810156534,0.498459168,0.684746997,0.14145282,0.067155176,0.33,0.59,0.195297732,0.238775992,-0.228615312,0.114711934,0.133230453,-0.061213992
cov,Good one,100,0.786050157,0.777896233,0.699582027,0.685501066,0.054272266,0.039497986,0.33,0.58,0.110493902,0.143460935,-0.054341263,0.137362175,0.155710799,-0.073646999
cov,Good one,100,0.822884013,0.780916844,0.69984326,0.627398721,0.065382092,0.044061584,0.33,0.58,0.077768385,0.121724429,-0.054099746,0.119013551,0.137362175,-0.082821311
cov,Good one,100,0.61091954,0.866373239,0.567528736,0.827288732,0.023854998,0.006915942,0.29,0.6,0.164373185,0.231788916,-0.172705466,0.038470903,0.092524957,-0.015583151
cov,Good one,100,0.670677362,0.814171123,0.618538324,0.738413547,0.045190042,0.038910164,0.34,0.66,0.17,0.21,-0.14,0.0541,0.1241,-0.0459
cov,Good one,100,0.684895833,0.854892206,0.592566288,0.703358209,0.02679919,0.009379589,0.33,0.64,0.164310766,0.184929323,-0.124349028,0.097370157,0.107078895,-0.048260911
cov,Good one,100,0.444871795,0.730405405,0.428205128,0.638851351,0.22984741,0.165881025,0.26,0.6,0.165359654,0.235127096,-0.311384532,0.135272392,0.161588181,-0.084025854
cov,Good one,100,0.519723361,0.985294118,0.512295082,0.831259427,0.027109872,0.079104338,0.32,0.61,0.195976413,0.249739854,-0.234131113,0.006376103,0.015721897,-0.002969692
cov,Good one,100,0.533333333,0.718055556,0.517857143,0.633333333,0.140050491,0.112641985,0.28,0.6,0.175619835,0.232438017,-0.222107438,0.154017857,0.189732143,-0.122767857
cov,Good one,100,0.861407249,1,0.773454158,0.808080808,0.125403826,0.096061314,0.28,0.67,0.084099723,0.105152355,-0.031689751,0,0,0
cov,Good one,100,0.5390625,0.799836601,0.5078125,0.700163399,0.134469999,0.077659808,0.32,0.64,0.191623264,0.233289931,-0.214626736,0.122503698,0.141734467,-0.060188609
cov,Good one,100,0.724074074,0.970380435,0.609259259,0.847282609,0.068129475,0.054621169,0.2,0.54,0.149379109,0.176406136,-0.134404675,0.026706979,0.026706979,-0.005039053
cov,Good one,100,0.592760181,0.951704545,0.553167421,0.768939394,0.084580032,0.092886323,0.34,0.52,0.163872363,0.233639805,-0.184964846,0.031855956,0.040627886,-0.012003693
cov,Good one,100,0.799765808,0.920512821,0.673067916,0.748717949,0.089685477,0.093593474,0.35,0.61,0.104600694,0.125434028,-0.051649306,0.036057692,0.064903846,-0.021634615
cov,Good one,100,0.596354167,0.94005848,0.528645833,0.771929825,0.005617239,0.054865272,0.24,0.64,0.17768595,0.21177686,-0.242768595,0.053571429,0.053571429,-0.017857143
cov,Good one,100,0.609279609,0.878378378,0.588827839,0.824324324,0.062898447,0.019619366,0.26,0.63,0.17598788,0.220931701,-0.172326726,0.077996916,0.096014934,-0.021102183
cov,Good one,100,0.486866792,0.812106538,0.494559099,0.670217918,0.143885244,0.081461102,0.41,0.65,0.207369171,0.24510502,-0.264328943,0.105251245,0.115889543,-0.054323223
cov,Good one,100,0.44047619,0.763104013,0.374883287,0.656019656,0.170547694,0.091711568,0.34,0.63,0.168668296,0.220214688,-0.3571049,0.138467339,0.157884815,-0.084833632
cov,Good one,100,0.572180012,0.987804878,0.589129164,0.823084851,0.035441119,0.062550504,0.29,0.59,0.160123967,0.228305785,-0.158057851,0.007334184,0.007334184,-0.001594388
cov,Good one,100,0.584729064,0.992307692,0.573152709,0.848168498,0.053574493,0.073497292,0.35,0.58,0.177245924,0.231009365,-0.166840097,0.007860949,0.007860949,-0.001484846
